k,l2_real,l2_imag,l2_magnitude,l1_real,l1_imag,l1_magnitude
0,0.0871984,0,0.0871984,0.0349642,0,0.0349642
1,-0.0261145,-0.0374231,0.0456339,0.00893482,0.011885,0.0148689
2,-0.0150262,0.0325104,0.035815,0.00947097,0.00489869,0.0106628
3,0.0114195,-0.00522138,0.0125566,0.00170113,0.0191727,0.019248
4,-0.0107801,0.00959733,0.0144333,-0.00607052,0.00852758,0.0104676
5,0.0131642,0.00400452,0.0137598,-0.00543012,0.0115052,0.0127223
6,-0.00253746,-0.00401462,0.0047493,-0.0137442,0.00173017,0.0138527
7,0.00557511,-0.000120952,0.00557642,0.000409159,-0.00229483,0.00233102
8,-0.00910403,-0.0104376,0.0138501,-0.00571299,-0.00125051,0.00584825
9,-0.0114314,0.0157609,0.01947,0.00244783,-0.0127594,0.0129921
10,0.0165882,0.00959923,0.0191654,0.00349516,0.00121898,0.00370163
11,0.00605298,-0.0147862,0.0159771,0.000354686,-0.00501826,0.00503077
12,-0.0133262,-0.00291325,0.013641,0.00838209,0.00393287,0.00925889
13,-0.000933731,0.0115283,0.011566,-0.00185209,0.00229008,0.00294528
14,0.00852253,-0.00133425,0.00862634,0.00766847,0.00230127,0.00800633
15,-0.00450422,-0.00558357,0.00717386,-0.000397631,0.00905238,0.00906111
16,-0.00364632,0.00700014,0.00789288,0.000475351,-0.00127667,0.0013623
17,0.00776573,0.00170494,0.00795068,0.00168918,0.0046803,0.00497579
18,-0.000907049,-0.00778064,0.00783333,-0.00325322,-0.000417543,0.00327991
19,-0.00783244,0.00311479,0.00842905,0.00312913,0.00187625,0.00364853
20,0.00415287,0.00712706,0.00824871,-0.00405811,0.00372595,0.00550917
21,0.00519462,-0.00485071,0.00710729,0.00141444,0.000418344,0.00147501
22,-0.00580376,-0.00308764,0.00657398,-6.40021e-006,0.00713388,0.00713389
23,-0.00161187,0.00620666,0.00641255,0.00037944,0.000979946,0.00105084
24,0.00551687,0.000179863,0.0055198,0.00175435,0.00752208,0.00772395
25,-0.00161958,-0.00453418,0.00481475,-0.00527056,0.00257936,0.00586787
26,-0.00388058,0.00299046,0.00489916,0.000339852,0.00288647,0.00290641
27,0.00338118,0.00299192,0.00451486,-0.00937355,0.00505587,0.0106501
28,0.00149787,-0.00344142,0.00375326,-0.00908918,-0.000768173,0.00912159
29,-0.00367571,-0.000134629,0.00367818,-0.00879017,0.00249287,0.00913682
30,0.000556389,0.00354168,0.00358512,-0.00723313,-0.00560447,0.00915031
31,0.0026852,-0.00109788,0.00290097,6.87676e-005,-0.00599705,0.00599745
